next_stop_distance,total_waiting_time,wifi_count,honks,rsi,Signal,bus_stop,Turn,zone_highway,zone_market_place,zone_normal_city,time_level_1,time_level_2,time_level_3,time_level_4,Population_density_dense,Population_density_medium,Population_density_sparse,Weekend/day_Week-day,Weekend/day_Week-end,Congestion
395.370734871,5,6,0,9.15460890909091,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
548.066049138,6,6,0,9.1725486,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
548.066049138,1,0,0,9.4925155,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
51.1159827026,2,0,4,9.84506225,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1
143.560650834,129,0,97,9.97778447621359,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
17.0649438997,9,0,19,9.84295391304348,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
416.303502018,93,0,58,9.61344385166666,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
873.629319379,2,0,9,10.45522765,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1
387.335268644,1,0,0,12.7019425,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
2468.17516953,3,0,4,9.2035371,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1
341.135702046,5,0,7,8.40993588888889,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
1582.54824247,1,0,1,7.42033365,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
179.502128729,116,0,70,9.68034790408164,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
